File below(listA) below(listI) below(treeA) below(treeI) below(regexA) below(regexI) below(treeOA) below(treeOI) below(regexOA) below(regexOI) above(listA) above(listI) above(treeA) above(treeI) above(regexA) above(regexI) above(treeOA) above(treeOI) above(regexOA) above(regexOI)
set_2_sites_1_iterations_100_result.csv 100 100 100 21 100 100 100 25 100 100 0 0 0 79 0 0 0 75 0 0
set_2_sites_1_iterations_1000_result.csv 1000 1000 1000 481 1000 1000 1000 409 1000 1000 0 0 0 1 0 0 0 0 0 0
set_2_sites_2_iterations_10_result.csv 10 10 10 0 10 10 10 9 10 10 0 0 0 1 0 0 0 0 0 0
set_2_sites_2_iterations_100_result.csv 100 100 100 99 100 100 100 99 100 100 0 0 0 1 0 0 0 0 0 0
set_2_sites_2_iterations_1000_result.csv 1000 1000 1000 66 1000 1000 1000 0 1000 1000 0 0 0 1 0 0 0 1000 0 0
set_2_sites_3_iterations_10_result.csv 10 10 10 0 10 10 10 7 10 10 0 0 0 3 0 0 0 0 0 0
set_2_sites_3_iterations_100_result.csv 100 100 100 83 100 100 100 0 100 100 0 0 0 1 0 0 0 16 0 0
set_2_sites_3_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 1000 1000 1000 0 0 0 1 0 0 0 0 0 0
set_2_sites_5_iterations_10_result.csv 10 10 10 9 10 10 10 10 10 10 0 0 0 1 0 0 0 0 0 0
set_2_sites_5_iterations_100_result.csv 100 100 100 99 100 100 100 100 100 100 0 0 0 1 0 0 0 0 0 0
set_2_sites_5_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 996 1000 1000 0 0 0 1 0 0 0 0 0 0
set_2_sites_10_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_2_sites_10_iterations_100_result.csv 100 100 100 100 100 100 100 96 100 100 0 0 0 0 0 0 0 0 0 0
set_2_sites_10_iterations_1000_result.csv 1000 1000 1000 1000 1000 1000 1000 998 1000 1000 0 0 0 0 0 0 0 0 0 0
set_2_sites_20_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_2_sites_20_iterations_100_result.csv 0 0 0 100 0 0 0 93 0 0 100 100 100 0 100 100 100 4 100 100
set_2_sites_20_iterations_1000_result.csv 0 0 0 556 0 0 0 0 0 0 1000 1000 1000 5 1000 1000 1000 544 1000 1000
set_2_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
